fid,id,left,top,right,bottom,J_Attached,J_Secondar,J_Medium d,J_Apartmen,J_Total_Ne,Long,Lat
25,25,681629.410799999954179,6102480.034499999135733,681918.085934594972059,6102230.034500000067055,"0","0","0","0","0",148.99688,-35.20536
26,26,681629.410799999954179,6102230.034500000067055,681918.085934594972059,6101980.034500000067055,"0","0","0","0","0",148.99693,-35.20761
27,27,681629.410799999954179,6101980.034500000067055,681918.085934594972059,6101730.034500000067055,"0","0","0","0","0",148.99699,-35.20986
28,28,681629.410799999954179,6101730.034500000067055,681918.085934594972059,6101480.034500000067055,"0","0","0","0","0",148.99704,-35.21212
29,29,681629.410799999954179,6101480.034500000067055,681918.085934594972059,6101230.034500000067055,"0","0","0","0","0",148.99710,-35.21437
30,30,681629.410799999954179,6101230.034500000067055,681918.085934594972059,6100980.034500000067055,"0","0","0","0","0",148.99715,-35.21662
32,32,681629.410799999954179,6100730.034500000998378,681918.085934594972059,6100480.034500000067055,"0","0","0","0","0",148.99726,-35.22113
33,33,681629.410799999954179,6100480.034500000067055,681918.085934594972059,6100230.034500000067055,"0","0","0","0","0",148.99732,-35.22338
34,34,681629.410799999954179,6100230.034500000067055,681918.085934594972059,6099980.034500000067055,"0","0","0","0","0",148.99737,-35.22563
35,35,681629.410799999954179,6099980.034500000067055,681918.085934594972059,6099730.034500000067055,"1.851992507","0","0","0","1.851992507",148.99743,-35.22789
36,36,681629.410799999954179,6099730.034500000067055,681918.085934594972059,6099480.034500000067055,"0","0","0","0","0",148.99748,-35.23014
171,171,681845.917150946101174,6102855.034500000067055,682134.592285541002639,6102605.034500000067055,"0","0","0","0","0",148.99917,-35.20194
172,172,681845.917150946101174,6102605.034500000067055,682134.592285541002639,6102355.034500000067055,"0","0","0","0","0",148.99923,-35.20419
173,173,681845.917150946101174,6102355.034500000067055,682134.592285541002639,6102105.034500000067055,"0","0","0","0","0",148.99928,-35.20645
174,174,681845.917150946101174,6102105.034500000067055,682134.592285541002639,6101855.034500000067055,"0","0","0","0","0",148.99934,-35.20870
175,175,681845.917150946101174,6101855.034500000067055,682134.592285541002639,6101605.034500000067055,"0","0","0","0","0",148.99939,-35.21095
176,176,681845.917150946101174,6101605.034500000067055,682134.592285541002639,6101355.034499999135733,"0","1","0","0","1",148.99945,-35.21320
177,177,681845.917150946101174,6101355.034499999135733,682134.592285541002639,6101105.034500000067055,"0","0","0","0","0",148.99950,-35.21546
178,178,681845.917150946101174,6101105.034500000067055,682134.592285541002639,6100855.034500000067055,"0","0","0","0","0",148.99956,-35.21771
