id,J_Job_POW,J_Pop_PUR,J_Val_Job,J_Val_Pop,J_BiVar,Long,Lat
2453,"0","0",A,"1",A1,149.063282,-35.187790
2452,"0","0",A,"1",A1,149.063168,-35.183284
2455,"31","361",A,"3",A3,149.063510,-35.196801
2454,"19","248",A,"2",A2,149.063396,-35.192296
2457,"36","486",A,"3",A3,149.063738,-35.205813
2456,"30","433",A,"3",A3,149.063624,-35.201307
2459,"45","335",A,"2",A2,149.063966,-35.214824
2458,"35","474",A,"3",A3,149.063852,-35.210318
2461,"24","59",A,"1",A1,149.064195,-35.223835
2460,"37","272",A,"2",A2,149.064081,-35.219330
2463,"23","613",A,"4",A4,149.064423,-35.232846
2462,"21","6",A,"1",A1,149.064309,-35.228341
2447,"7","10",A,"1",A1,149.062599,-35.160756
2446,"0","0",A,"1",A1,149.062485,-35.156250
2481,"20","0",A,"1",A1,149.066483,-35.313947
2480,"5","0",A,"1",A1,149.066368,-35.309441
2483,"46","172",A,"2",A2,149.066712,-35.322958
2482,"30","65",A,"1",A1,149.066597,-35.318452
2485,"28","127",A,"2",A2,149.066941,-35.331969
2484,"29","193",A,"2",A2,149.066827,-35.327463
2487,"33","134",A,"2",A2,149.067171,-35.340980
2486,"25","18",A,"1",A1,149.067056,-35.336474
2489,"49","360",A,"3",A3,149.067401,-35.349991
2488,"33","224",A,"2",A2,149.067286,-35.345486
2491,"30","227",A,"2",A2,149.067630,-35.359002
2490,"40","388",A,"3",A3,149.067515,-35.354497
2493,"0","0",A,"1",A1,149.067860,-35.368013
2492,"2","63",A,"1",A1,149.067745,-35.363508
2495,"16","330",A,"2",A2,149.068090,-35.377024
2494,"5","53",A,"1",A1,149.067975,-35.372519
2465,"2945","0",D,"1",D1,149.064651,-35.241858
2464,"3708","207",E,"2",E2,149.064537,-35.237352
2467,"91","447",A,"3",A3,149.064880,-35.250869
2466,"567","208",B,"2",B2,149.064766,-35.246363
2469,"28","481",A,"3",A3,149.065109,-35.259880
2468,"65","458",A,"3",A3,149.064994,-35.255374
2471,"2","37",A,"1",A1,149.065337,-35.268891
2470,"22","328",A,"2",A2,149.065223,-35.264386
2473,"0","0",A,"1",A1,149.065566,-35.277902
2472,"0","0",A,"1",A1,149.065452,-35.273397
2475,"3","0",A,"1",A1,149.065795,-35.286913
2474,"2","0",A,"1",A1,149.065681,-35.282408
2477,"4","1",A,"1",A1,149.066024,-35.295925
2476,"6","1",A,"1",A1,149.065910,-35.291419
2479,"2","1",A,"1",A1,149.066253,-35.304936
2478,"3","0",A,"1",A1,149.066139,-35.300430
2385,"41","343",A,"2",A2,149.062130,-35.359096
2384,"51","451",A,"3",A3,149.062016,-35.354591
2387,"8","68",A,"1",A1,149.062360,-35.368107
2386,"30","419",A,"3",A3,149.062245,-35.363602
2389,"57","373",A,"3",A3,149.062589,-35.377118
2388,"24","275",A,"2",A2,149.062474,-35.372613
2391,"38","297",A,"2",A2,149.062819,-35.386129
2390,"107","219",A,"2",A2,149.062704,-35.381624
2393,"43","247",A,"2",A2,149.063048,-35.395140
2392,"12","186",A,"2",A2,149.062933,-35.390635
2395,"8","146",A,"2",A2,149.063278,-35.404151
2394,"27","408",A,"3",A3,149.063163,-35.399646
2397,"1655","418",C,"3",C3,149.063508,-35.413162
2396,"10","134",A,"2",A2,149.063393,-35.408657
2399,"1466","3",C,"1",C1,149.063737,-35.422173
2398,"1638","82",C,"1",C1,149.063622,-35.417668
2369,"7","0",A,"1",A1,149.060300,-35.287007
2368,"0","0",A,"1",A1,149.060186,-35.282502
2371,"6","0",A,"1",A1,149.060529,-35.296018
2370,"3","1",A,"1",A1,149.060414,-35.291513
2373,"1","0",A,"1",A1,149.060757,-35.305030
2372,"1","0",A,"1",A1,149.060643,-35.300524
2375,"28","0",A,"1",A1,149.060986,-35.314041
2374,"2","0",A,"1",A1,149.060871,-35.309535
2377,"50","126",A,"2",A2,149.061214,-35.323052
2376,"77","7",A,"1",A1,149.061100,-35.318546
2379,"49","217",A,"2",A2,149.061443,-35.332063
2378,"54","122",A,"1",A1,149.061329,-35.327557
2381,"51","444",A,"3",A3,149.061672,-35.341074
2380,"38","337",A,"2",A2,149.061558,-35.336568
