fid,ogc_fid,sa2_main16,sa2_5dig16,sa2_name16,sa3_code16,sa3_name16,sa4_code16,sa4_name16,gcc_code16,gcc_name16,ste_code16,ste_name16,areasqkm16,Long,Lat,EJD_Total,EJD_AgriFor,EJD_Mining,EJD_Manufacturing,EJD_Util,EJD_Constr,EJD_Wholesale,EJD_Retail,EJD_AccoFood,EJD_Logistic,EJD_IT,EJD_Fin,EJD_RealEst,EJD_ProfServ,EJD_Admin,EJD_GovDef,EJD_Edu,EJD_Health,EJD_Arts,EJD_Other,EMP_Total_2016,EMP_Total_2021,ERP_2014,ERP_2015,ERP_2016,ERP_2017,ERP_2018,ERP_2019,ERP_2020,EJD_Total_Level
36,1660,403041087,41087,Seaford (SA),40304,Onkaparinga,403,Adelaide - South,4GADE,Greater Adelaide,4,South Australia,23.5763,138.4819973,-35.19794688,28226.48836,473.7183345,192.2268526,1938.401101,324.7409326,1955.894333,773.0816121,3450.186911,2116.947743,1095.829782,414.0432195,928.033439,428.8863948,1791.740242,884.9978642,2056.932995,2659.399425,4160.235816,435.718858,1107.480049,0,0,21397,22074,22828,23418,23909,24528,25076,Lv 5
572,1643,403031070,41070,Panorama,40303,Mitcham,403,Adelaide - South,4GADE,Greater Adelaide,4,South Australia,5.7425,138.5884728,-35.00260665,54915.87497,601.8225783,348.0113493,3547.966489,704.815889,3273.948313,1517.397217,5757.285614,3635.917925,1868.769648,892.6477422,2137.279681,832.8505755,3941.097943,1848.575963,4216.163948,5232.984428,9658.248515,876.9451736,2214.398128,0,0,8224,8274,8324,8410,8508,8594,8716,Lv 8
806,1581,401021009,41009,Nairne,40102,Adelaide Hills,401,Adelaide - Central and Hills,4GADE,Greater Adelaide,4,South Australia,24.8562,138.9119088,-35.03253963,26927.89912,568.0693441,211.7974697,1933.890193,332.0703443,1712.3175,800.4710307,2875.272188,1895.401357,1108.543608,445.1326015,975.9309797,424.5058991,1943.970645,859.4677769,1966.306126,2451.546105,3948.2251,432.8882238,1066.170987,0,0,4853,4982,5124,5233,5279,5330,5387,Lv 4
807,1582,401021010,41010,Uraidla - Summertown,40102,Adelaide Hills,401,Adelaide - Central and Hills,4GADE,Greater Adelaide,4,South Australia,119.1882,138.7432857,-34.92349254,35051.52256,685.6888396,282.7307769,2462.662806,431.9070667,2225.443031,1042.481019,3639.816917,2407.776514,1409.04305,591.8456784,1298.021724,554.9961944,2600.713713,1138.712265,2682.848083,3220.761998,5210.335502,568.1401251,1356.484628,0,0,5520,5524,5529,5544,5555,5640,5745,Lv 6
814,1596,401071024,41024,Unley - Parkside,40107,Unley,401,Adelaide - Central and Hills,4GADE,Greater Adelaide,4,South Australia,7.0726,138.6189078,-34.9537917,72245.69358,712.7940051,601.8812182,3869.351915,936.7650406,3977.551644,2003.420403,7323.807077,4952.430652,2239.353819,1281.424563,3178.280434,1211.699535,6511.206538,2419.883936,5858.973123,6306.603693,12370.9771,1098.221417,3103.247776,0,0,20646,20733,20835,20930,20967,21022,21131,Lv 10
821,1597,402011025,41025,Gawler - North,40201,Gawler - Two Wells,402,Adelaide - North,4GADE,Greater Adelaide,4,South Australia,145.5294,138.7150515,-34.56159337,29018.89705,715.7784342,220.2084105,2524.843009,330.7209692,2014.510184,898.3493762,3104.048133,1960.945316,1222.967646,445.8718358,915.3673324,426.9397811,1852.469313,945.6694829,2040.717,2689.581454,4052.008602,421.995913,1144.987734,0,0,9188,9267,9343,9419,9481,9534,9582,Lv 5
822,1598,402011026,41026,Gawler - South,40201,Gawler - Two Wells,402,Adelaide - North,4GADE,Greater Adelaide,4,South Australia,76.7139,138.7615905,-34.61041366,32420.79676,648.5558312,203.3310405,2305.226006,321.8278953,1975.244757,880.0937255,4008.057215,2437.679419,1239.035664,486.4612383,1052.037065,509.422499,2011.735748,1024.985812,2247.609406,3155.90237,5027.780219,507.284936,1257.588892,0,0,19089,19504,20062,20467,20779,21078,21371,Lv 5
823,1599,402011027,41027,Lewiston - Two Wells,40201,Gawler - Two Wells,402,Adelaide - North,4GADE,Greater Adelaide,4,South Australia,84.6217,138.5572686,-34.60486626,25926.04914,1008.923762,193.5587557,2011.850573,305.1347028,1682.443368,799.4220904,2696.916829,1740.953742,1207.335347,402.6625768,860.2765073,393.7648362,1740.722179,802.7933961,1882.436731,2261.784846,3557.57185,394.2926829,985.5989583,0,0,5555,5612,5686,5742,5793,5848,6118,Lv 4
849,1635,403021062,41062,Morphettville,40302,Marion,403,Adelaide - South,4GADE,Greater Adelaide,4,South Australia,6.2005,138.5434944,-34.98457683,58887.96553,617.256422,378.4029677,3758.206876,829.9020884,3668.761345,1619.981566,6075.045594,4184.031171,2428.02883,1027.807689,2341.694189,935.4183791,4311.482706,1928.528401,4662.215479,5107.300385,9574.444149,1221.29035,2268.456919,0,0,14540,14756,14982,15171,15369,15651,16010,Lv 9
878,1588,401041016,41016,Rostrevor - Magill,40104,Campbelltown (SA),401,Adelaide - Central and Hills,4GADE,Greater Adelaide,4,South Australia,9.9383,138.6793747,-34.89846028,50378.59138,610.6391612,348.2377085,3241.279056,604.4085573,3148.732659,1464.196301,5376.109707,3442.747639,1897.469132,859.6976435,1880.942012,806.874808,3805.309855,1619.631154,4020.512226,4933.053112,7823.527741,786.2154154,1998.367387,0,0,21779,21948,22085,22204,22407,22834,23299,Lv 8
