fid,ogc_fid,sa2_main16,sa2_5dig16,sa2_name16,sa3_code16,sa3_name16,sa4_code16,sa4_name16,gcc_code16,gcc_name16,ste_code16,ste_name16,areasqkm16,Long,Lat,EJD_Total,EJD_AgriFor,EJD_Mining,EJD_Manufacturing,EJD_Util,EJD_Constr,EJD_Wholesale,EJD_Retail,EJD_AccoFood,EJD_Logistic,EJD_IT,EJD_Fin,EJD_RealEst,EJD_ProfServ,EJD_Admin,EJD_GovDef,EJD_Edu,EJD_Health,EJD_Arts,EJD_Other,EMP_Total_2016,EMP_Total_2021,ERP_2014,ERP_2015,ERP_2016,ERP_2017,ERP_2018,ERP_2019,ERP_2020,EJD_Total_Level
236,1103,303031061,31061,Macgregor (Qld),30303,Mt Gravatt,303,Brisbane - South,3GBRI,Greater Brisbane,3,Queensland,2.6853,153.0730226,-27.56531494,101508.133,760.6061301,995.5562369,6150.233902,1004.410518,6753.326479,3056.092377,10469.62946,7177.489432,5049.31494,1566.413192,3952.096936,2149.714775,8719.119905,3335.283709,7656.528476,9218.409039,13622.05743,1676.822867,3906.737649,0,0,6139,6186,6198,6295,6364,6454,6553,Lv 13
567,1088,302041046,31046,Zillmere,30204,Sandgate,302,Brisbane - North,3GBRI,Greater Brisbane,3,Queensland,3.7003,153.038908,-27.35842162,88686.91647,699.6633051,877.9055187,5419.220049,1122.475965,6233.774322,2625.496091,8571.737658,6072.162572,4647.321373,1452.815533,3232.832424,1830.147639,7477.683567,2877.392631,7031.010655,7574.793851,12521.83778,1485.71408,3282.254531,0,0,9036,9204,9274,9498,9540,9623,9559,Lv 12
601,1113,303041071,31071,Tarragindi,30304,Nathan,303,Brisbane - South,3GBRI,Greater Brisbane,3,Queensland,4.5496,153.0455865,-27.52708194,104038.2809,754.3628234,1222.098647,5926.89374,1017.144432,6811.22323,2935.118937,9156.586277,6938.433517,5009.829582,1735.939839,4454.741669,2211.810034,9999.861871,3477.682902,8668.613031,9481.025655,14470.11567,1737.631312,3785.516539,0,0,10890,11028,11095,11300,11509,11647,11704,Lv 13
631,1068,302011026,31026,McDowall,30201,Bald Hills - Everton Park,302,Brisbane - North,3GBRI,Greater Brisbane,3,Queensland,4.3856,152.9917564,-27.38242779,75419.94027,650.8257629,761.7713139,4301.099543,802.8328903,5257.893912,2036.734628,7403.388348,5295.886075,3748.491206,1190.659102,2786.491464,1589.250033,6477.421713,2414.107602,5708.389296,6960.661268,10885.57463,1281.596093,2810.05598,0,0,7799,7847,7890,7915,8039,8116,8203,Lv 11
632,1043,301011001,31001,Alexandra Hills,30101,Capalaba,301,Brisbane - East,3GBRI,Greater Brisbane,3,Queensland,13.6312,153.2291457,-27.53249675,55819.09771,607.722968,507.7195099,3583.235426,564.5746134,4188.755909,1635.132631,5772.676801,3990.06339,2857.996019,831.6735283,1900.991809,1188.18009,4297.692543,1833.032882,3628.324435,5324.732892,7596.834927,920.317095,2175.649816,0,0,17175,17029,16906,16906,16792,16933,16881,Lv 8
633,1044,301011002,31002,Belmont - Gumdale,30101,Capalaba,301,Brisbane - East,3GBRI,Greater Brisbane,3,Queensland,33.1072,153.1586523,-27.50709223,71073.23527,706.8461314,694.6500104,4627.098856,746.8396498,5367.257202,2148.562805,7094.546106,4920.417349,3782.12872,1117.44606,2568.567006,1527.22135,5828.700759,2351.379704,4844.664465,6337.079195,9344.600729,1272.106446,2728.180196,0,0,7783,7776,7748,7767,7854,7943,7902,Lv 10
634,1071,302021029,31029,Chermside West,30202,Chermside,302,Brisbane - North,3GBRI,Greater Brisbane,3,Queensland,3.4032,153.0123898,-27.38316841,86186.78293,678.3348195,805.5249355,4915.133778,999.1512857,6092.708359,2372.490797,8627.722232,6008.84362,4322.169618,1382.759035,3073.889841,1809.81301,7243.956543,2709.977425,6503.596637,7510.5629,13046.60955,1440.464499,3191.6452,0,0,6473,6481,6489,6532,6647,6786,6856,Lv 12
635,1045,301011003,31003,Birkdale,30101,Capalaba,301,Brisbane - East,3GBRI,Greater Brisbane,3,Queensland,11.5987,153.2107387,-27.49970801,60396.55657,627.5711698,544.7258267,3937.345608,619.1718867,4566.579257,1799.889475,6167.097509,4253.471793,3171.504337,916.4368643,2067.86434,1286.894839,4775.16408,1993.740501,3933.812258,5501.880948,8268.472,981.6289389,2350.792584,0,0,15307,15367,15394,15614,15637,15676,15590,Lv 9
636,1046,301011004,31004,Capalaba,30101,Capalaba,301,Brisbane - East,3GBRI,Greater Brisbane,3,Queensland,18.889,153.2029457,-27.54308019,68932.98802,668.4592254,571.6772161,4769.684414,676.2585267,5594.118253,2189.099398,8110.396658,4806.341588,3537.175067,1023.060946,2299.551717,1424.51132,5172.338085,2345.380679,4330.042093,5737.811144,8617.216977,1074.41061,2875.87646,0,0,17731,18044,18271,18650,18773,18813,18780,Lv 10
637,1047,301011005,31005,Thorneside,30101,Capalaba,301,Brisbane - East,3GBRI,Greater Brisbane,3,Queensland,2.6658,153.2007063,-27.48444628,60472.95168,619.2138531,572.6720953,4052.29071,634.2372443,4521.534495,1840.686583,6029.086731,4256.423113,3275.672971,948.2623069,2127.221972,1287.233796,4875.809932,1990.136074,4075.153011,5388.678174,8030.893037,992.9689724,2327.086802,0,0,3841,3827,3884,3924,3979,3967,4047,Lv 9
638,1048,301011006,31006,Wellington Point,30101,Capalaba,301,Brisbane - East,3GBRI,Greater Brisbane,3,Queensland,9.404,153.2414665,-27.49478011,54697.47325,609.5947594,499.277266,3524.54843,567.8015697,4034.261171,1608.604675,5466.312731,4015.263337,2835.041443,831.1581059,1869.319362,1182.500234,4317.197213,1775.179701,3602.58149,5199.087007,7411.565621,887.2118792,2118.692487,0,0,11805,11980,12097,12216,12321,12322,12399,Lv 8
639,1049,301021007,31007,Cleveland,30102,Cleveland - Stradbroke,301,Brisbane - East,3GBRI,Greater Brisbane,3,Queensland,11.8548,153.2674771,-27.53294832,59923.84951,618.0068183,488.7872447,3953.966247,693.1820414,4302.318647,1649.358469,5917.65317,4470.574691,2830.298635,832.6590142,1924.369538,1333.904895,4489.542051,1895.032133,4381.358814,5172.652451,9095.517398,956.1676805,2346.451672,0,0,15467,15248,15344,15500,15658,15703,15668,Lv 9
640,1050,301021008,31008,Ormiston,30102,Cleveland - Stradbroke,301,Brisbane - East,3GBRI,Greater Brisbane,3,Queensland,4.929,153.2551196,-27.51010751,53630.24295,644.8132846,487.5468246,3444.567608,556.4911273,3938.390563,1561.142045,5452.877819,3937.812104,2693.676209,874.6320972,1813.498689,1152.26757,4174.42027,1741.474368,3573.858131,4987.074178,7294.835177,883.2280035,2094.870796,0,0,5971,5997,6007,6030,6088,6141,6229,Lv 8
641,1051,301021009,31009,Redland Bay,30102,Cleveland - Stradbroke,301,Brisbane - East,3GBRI,Greater Brisbane,3,Queensland,46.8997,153.2908207,-27.64788771,44499.29334,651.6896554,391.8095423,2901.646656,443.3650279,3584.750072,1340.692001,4549.580412,3227.801288,2214.909236,651.8080159,1461.027463,959.3475223,3316.968782,1476.509934,2827.904866,4039.986893,5971.370403,749.2984537,1727.449316,0,0,15155,15544,16097,16615,17249,17750,18032,Lv 7
642,1052,301021011,31011,Sheldon - Mount Cotton,30102,Cleveland - Stradbroke,301,Brisbane - East,3GBRI,Greater Brisbane,3,Queensland,65.1972,153.2168956,-27.60768028,50078.03222,644.9110602,524.8654361,3779.993778,506.0151499,3813.142907,1479.734893,5059.743844,3510.285818,2541.131257,737.3256611,1652.283735,1036.877772,3781.791639,1645.403527,3190.415806,4740.009188,6491.684685,825.6719421,1908.433317,0,0,7662,7923,8204,8490,8741,8861,8935,Lv 8
643,1053,301021012,31012,Thornlands,30102,Cleveland - Stradbroke,301,Brisbane - East,3GBRI,Greater Brisbane,3,Queensland,21.6475,153.2608903,-27.56767675,53712.95863,675.1733745,476.7943976,3477.444424,546.4827742,4075.46574,1592.489323,5476.653278,3787.520299,2692.206544,787.7274895,1791.398947,1128.423448,4109.923689,1771.860113,3467.207725,5194.770205,7353.692204,866.4858962,2087.777884,0,0,14144,14421,15203,15663,16350,17242,18055,Lv 8
644,1054,301021013,31013,Victoria Point,30102,Cleveland - Stradbroke,301,Brisbane - East,3GBRI,Greater Brisbane,3,Queensland,13.4057,153.2868861,-27.58707765,52979.90319,616.7214241,449.9061521,3294.871839,527.7515872,3888.863125,1497.745226,5881.07732,4131.509196,2568.246614,797.4520362,1744.46809,1132.214509,3888.901684,1848.321567,3276.609999,4897.736354,7272.711572,893.1540212,2059.285297,0,0,15441,15470,15533,15572,15619,15555,15513,Lv 8
645,1055,301021527,31527,Redland Islands,30102,Cleveland - Stradbroke,301,Brisbane - East,3GBRI,Greater Brisbane,3,Queensland,317.0444,153.4413503,-27.55882914,30610.90415,467.7709595,410.9706874,1926.100642,319.3085775,2296.601746,863.9723654,3132.890655,2340.409485,1548.269198,459.1549711,1037.025747,671.2959448,2303.111883,1003.506303,2022.12783,2765.220103,4052.71369,524.7076381,1146.023101,0,0,9134,9257,9276,9410,9618,9852,10202,Lv 5
646,1056,301031014,31014,Brisbane Port - Lytton,30103,Wynnum - Manly,301,Brisbane - East,3GBRI,Greater Brisbane,3,Queensland,32.7859,153.197792,-27.38113306,58625.13568,614.1381148,598.015922,4614.306238,601.9418139,4236.419456,2070.577872,5506.067953,3847.046852,5059.222778,841.194298,1895.474655,1128.831902,4363.182542,1872.411404,3932.336482,4777.361032,7136.154669,902.8192945,2074.95908,0,0,9,9,9,9,9,9,9,Lv 9
647,1076,302021034,31034,Wavell Heights,30202,Chermside,302,Brisbane - North,3GBRI,Greater Brisbane,3,Queensland,3.5792,153.0475338,-27.39223145,91440.08448,698.4010079,883.6850864,5723.224261,1205.730124,6429.675769,2719.279584,8892.616275,6220.293251,5013.230204,1489.778201,3291.81481,1907.15389,7656.885175,2901.787529,6827.586942,7703.222675,13259.15157,1501.031302,3390.833858,0,0,10139,10140,10167,10302,10487,10685,10777,Lv 12
648,1077,302031035,31035,Boondall,30203,Nundah,302,Brisbane - North,3GBRI,Greater Brisbane,3,Queensland,10.7506,153.0697116,-27.34880687,73754.54305,665.9958978,699.9843836,4760.759027,942.8404568,5323.829938,2220.125373,7207.132375,5205.086822,4140.18416,1167.69123,2547.153539,1533.003525,5918.963793,2350.798074,5339.543864,6678.92005,9831.305704,1377.562681,2757.016986,0,0,9522,9585,9622,9749,9835,9874,9937,Lv 10
649,1078,302031036,31036,Brisbane Airport,30203,Nundah,302,Brisbane - North,3GBRI,Greater Brisbane,3,Queensland,45.4859,153.1177596,-27.3924005,88436.26577,667.9253641,798.4082268,5876.933141,989.2506391,5693.31636,3033.466559,8084.4363,6079.398246,12875.36207,1172.55576,2698.054773,1854.086025,6205.60124,2919.661021,6682.259261,6141.598074,9232.234998,1209.069865,2741.775339,0,0,204,200,200,200,200,200,200,Lv 12
650,1057,301031015,31015,Manly - Lota,30103,Wynnum - Manly,301,Brisbane - East,3GBRI,Greater Brisbane,3,Queensland,4.1989,153.1855733,-27.46240314,64210.17128,628.2639166,610.8931995,4247.420151,660.5458833,4802.398172,1930.454397,6289.550443,4664.41813,3559.117116,989.4900353,2259.535384,1384.379732,5187.309191,2085.246897,4291.997242,5824.180568,8487.403831,1097.550984,2435.948628,0,0,7600,7623,7660,7736,7791,7851,7980,Lv 9
651,1058,301031016,31016,Manly West,30103,Wynnum - Manly,301,Brisbane - East,3GBRI,Greater Brisbane,3,Queensland,4.9055,153.1659496,-27.46748771,70789.09625,652.9998943,675.8394058,4753.31706,736.3828405,5213.023476,2164.767386,7014.231658,5001.339069,3906.87831,1112.321612,2520.929112,1507.002089,5816.042051,2313.108349,4758.807549,6446.268485,9328.325413,1176.86768,2676.160186,0,0,11656,11719,11830,11972,12137,12145,12220,Lv 10
652,1114,303051072,31072,Algester,30305,Rocklea - Acacia Ridge,303,Brisbane - South,3GBRI,Greater Brisbane,3,Queensland,3.6903,153.032412,-27.6127402,67237.08075,668.2893083,633.1235476,4518.862223,693.1176367,4821.78806,2205.650495,6637.304737,4623.207987,3724.463755,978.2440976,2305.756978,1446.126967,5280.937348,2187.245306,4514.428265,6278.993812,9043.947195,1091.595605,2585.410826,0,0,8706,8745,8810,8882,9005,9161,9242,Lv 10
653,1059,301031017,31017,Murarrie,30103,Wynnum - Manly,301,Brisbane - East,3GBRI,Greater Brisbane,3,Queensland,8.4389,153.1082169,-27.45397577,98906.86345,750.4276608,954.8565145,8584.158246,1080.809461,7297.082547,3710.098546,9051.822806,6219.184278,6260.380056,1764.228113,3507.110912,2076.863997,8243.391495,3270.683389,6624.185067,7637.187281,12433.94095,1524.744592,3600.799523,0,0,4301,4304,4306,4377,4451,4592,4780,Lv 13
654,1089,303011047,31047,Camp Hill,30301,Carindale,303,Brisbane - South,3GBRI,Greater Brisbane,3,Queensland,4.5806,153.078003,-27.49630438,102630.9735,740.9035806,1188.053871,5731.948591,1024.882556,6914.056984,2821.947812,9251.531652,7124.153135,5008.458169,1785.64107,4319.951757,2255.631992,9857.918779,3390.470449,8110.158608,9380.907334,14128.02661,1766.288798,3718.809653,0,0,11444,11549,11670,11864,12090,12246,12367,Lv 13
655,1060,301031018,31018,Tingalpa,30103,Wynnum - Manly,301,Brisbane - East,3GBRI,Greater Brisbane,3,Queensland,8.9263,153.1270457,-27.47359209,90004.58,728.3275259,879.4637901,6905.827767,945.0898202,6677.533486,3056.064186,8667.521106,6125.637079,5206.254958,1496.901133,3267.449523,1911.010561,7428.86003,2948.966055,6079.206719,7438.140144,11348.7973,1489.076368,3459.444992,0,0,8999,9046,9115,9150,9223,9305,9364,Lv 12
656,1061,301031019,31019,Wakerley,30103,Wynnum - Manly,301,Brisbane - East,3GBRI,Greater Brisbane,3,Queensland,5.1962,153.1568604,-27.48277217,71824.17735,669.7931447,679.155931,5092.373596,758.7305696,5471.59195,2245.076094,7105.476776,5049.496628,3969.113147,1135.930415,2531.812723,1546.41448,5795.832048,2336.177366,4765.115135,6270.706541,9314.12755,1199.403494,2749.222083,0,0,9193,9366,9429,9510,9576,9794,9976,Lv 10
657,1062,301031020,31020,Wynnum,30103,Wynnum - Manly,301,Brisbane - East,3GBRI,Greater Brisbane,3,Queensland,6.1324,153.167112,-27.44039882,70402.19473,652.5736519,643.9668491,4773.00113,731.9312493,5203.66602,2152.426538,7082.868889,4992.469091,4011.251273,1097.400673,2450.297974,1561.109655,5662.484388,2309.599399,4687.255272,6196.302936,9257.692352,1141.509665,2741.200154,0,0,13550,13644,13757,13990,14141,14466,14701,Lv 10
658,1079,302031037,31037,Eagle Farm - Pinkenba,30203,Nundah,302,Brisbane - North,3GBRI,Greater Brisbane,3,Queensland,7.2338,153.0966064,-27.43486468,100623.0909,722.2783377,1113.477601,8253.220282,1230.691266,7751.879125,3477.881962,8985.974222,6471.428232,6680.78719,1646.387708,3662.281206,2195.521519,8723.146014,3400.345698,7169.582825,7659.85101,11686.22018,1630.82023,3794.900296,0,0,631,749,852,988,1124,1332,1485,Lv 13
659,1063,301031021,31021,Wynnum West - Hemmant,30103,Wynnum - Manly,301,Brisbane - East,3GBRI,Greater Brisbane,3,Queensland,12.2743,153.1409824,-27.44972732,77614.12087,678.9290334,726.1368219,5961.196743,848.744077,5842.738832,2677.58363,7470.819572,5349.651594,5059.257585,1195.846262,2639.795568,1590.320535,6055.518327,2468.900984,5015.223716,6537.350932,9906.255612,1223.302355,2935.85986,0,0,15345,15334,15333,15481,15611,15738,15858,Lv 11
660,1064,302011022,31022,Bald Hills,30201,Bald Hills - Everton Park,302,Brisbane - North,3GBRI,Greater Brisbane,3,Queensland,13.3544,153.0197303,-27.30750912,69048.97719,649.5872237,644.2984193,4250.37165,755.8989096,5047.852643,1974.468369,7133.188844,4853.80603,3552.934624,1065.48934,2441.090998,1431.486364,5553.259685,2234.436592,4963.251538,6391.100693,9431.62234,1154.339471,2614.506419,0,0,7458,7483,7531,7628,7685,7780,7846,Lv 10
661,1082,302031040,31040,Nundah,30203,Nundah,302,Brisbane - North,3GBRI,Greater Brisbane,3,Queensland,3.6728,153.0620511,-27.40249241,96605.0013,722.2271818,975.9584584,6015.153904,1344.033362,6692.43319,2930.626031,9337.03048,6714.163335,5709.131826,1614.169392,3707.226647,2095.900507,8378.413896,3182.535273,7191.058201,8059.844936,12705.60627,1679.614496,3608.37264,0,0,11913,12349,12940,13358,13776,14301,14454,Lv 13
662,1065,302011023,31023,Bridgeman Downs,30201,Bald Hills - Everton Park,302,Brisbane - North,3GBRI,Greater Brisbane,3,Queensland,9.4789,152.9943545,-27.35207765,76123.6496,661.8192437,747.3546869,4477.328257,853.0184226,5441.356152,2121.112329,7618.617782,5402.35275,3849.832898,1208.125908,2842.454098,1631.472428,6533.286319,2462.826406,5837.208804,6667.466221,10450.78188,1276.477021,2899.021108,0,0,8268,8344,8495,8670,8900,9153,9576,Lv 11
663,1066,302011024,31024,Carseldine,30201,Bald Hills - Everton Park,302,Brisbane - North,3GBRI,Greater Brisbane,3,Queensland,4.5457,153.0154596,-27.34742171,80426.84647,678.895972,763.8807623,4679.880323,899.8451645,5661.916465,2234.967045,8203.637059,5744.426658,4110.680665,1259.370416,2952.436328,1685.395006,6746.623662,2580.922903,6562.575602,6871.451643,11133.7801,1353.47044,2979.547456,0,0,9046,9255,9415,9586,9731,10028,10141,Lv 11
664,1092,303011050,31050,Carina Heights,30301,Carindale,303,Brisbane - South,3GBRI,Greater Brisbane,3,Queensland,3.3991,153.0912615,-27.50721039,90787.62521,711.0475302,986.9855398,5362.031498,911.0106686,6272.988642,2584.416922,8673.490054,6350.779226,4632.54177,1531.475833,3629.48847,1965.452651,8224.741333,2974.134945,6815.546027,8106.184215,12427.19549,1539.502365,3372.463615,0,0,6600,6715,6808,6926,7024,7108,7187,Lv 12
665,1067,302011025,31025,Everton Park,30201,Bald Hills - Everton Park,302,Brisbane - North,3GBRI,Greater Brisbane,3,Queensland,4.1663,152.9873729,-27.40077369,87782.11425,683.505831,965.637363,4709.259442,917.4606048,5961.027872,2284.095185,8419.883843,6193.454187,4241.633901,1440.749655,3484.773445,1912.936052,8116.771528,2853.147001,7133.53344,7984.904512,12258.23646,1543.588519,3202.556486,0,0,9027,9120,9199,9383,9605,9909,10035,Lv 12
666,1069,302021027,31027,Aspley,30202,Chermside,302,Brisbane - North,3GBRI,Greater Brisbane,3,Queensland,6.258,153.0184897,-27.36686109,92843.74247,700.391466,897.4089845,5180.437964,1051.932665,6337.937525,2539.419255,9586.429399,6699.273954,4565.644026,1490.616358,3496.936067,2009.091842,8019.895493,2943.97939,7196.239043,7929.860971,13512.29907,1557.174177,3390.946734,0,0,12800,12754,12760,12796,12910,12960,12978,Lv 12
667,1070,302021028,31028,Chermside,30202,Chermside,302,Brisbane - North,3GBRI,Greater Brisbane,3,Queensland,3.3875,153.032048,-27.38542405,111168.6539,735.729859,1073.824627,5786.790657,1232.728151,7346.034415,2893.501928,11359.49788,7633.660823,5187.600708,1802.892245,4122.716144,2315.384201,9376.616866,3442.190001,9040.832125,8782.30137,19086.46803,1783.261743,3946.30161,0,0,9195,9364,9669,9938,10259,10425,10530,Lv 14
668,1072,302021030,31030,Geebung,30202,Chermside,302,Brisbane - North,3GBRI,Greater Brisbane,3,Queensland,4.0441,153.0472786,-27.37258413,88898.52371,688.2194507,841.4204846,6460.545256,1411.201164,6466.967596,2927.258612,8443.75974,5892.212983,4892.062422,1557.670625,3053.447053,1812.267133,7221.211855,2801.851939,6414.84501,7300.602411,12152.19064,1412.147847,3373.753222,0,0,4517,4518,4474,4492,4511,4488,4530,Lv 12
669,1073,302021031,31031,Kedron - Gordon Park,30202,Chermside,302,Brisbane - North,3GBRI,Greater Brisbane,3,Queensland,5.22,153.0304616,-27.40613384,122153.9451,770.5367783,1347.453538,6165.814363,1356.81632,8284.033494,3091.26795,11187.39935,8327.754509,5907.336894,2119.93978,5046.907769,2621.777446,11793.5882,3974.482157,10540.12813,10493.65671,17900.9849,2216.542653,4323.676457,0,0,13791,14060,14312,14653,14822,14961,15224,Lv 15
670,1074,302021032,31032,Stafford,30202,Chermside,302,Brisbane - North,3GBRI,Greater Brisbane,3,Queensland,3.4381,153.0102452,-27.40950843,98995.18896,710.5841035,1056.010219,5302.134496,1062.306829,6753.466807,2660.416993,9441.321238,6821.019322,4941.033882,1701.466676,3893.542938,2123.480783,9359.55441,3182.836163,8001.703726,8669.396743,14020.60389,1766.956346,3606.130787,0,0,6631,6758,6811,6940,7056,7196,7382,Lv 13
671,1075,302021033,31033,Stafford Heights,30202,Chermside,302,Brisbane - North,3GBRI,Greater Brisbane,3,Queensland,2.9088,153.0091659,-27.39687249,87412.6084,683.7090823,910.2510512,4868.816022,957.891998,6027.941825,2365.425291,8411.910519,6061.784746,4369.553554,1435.17013,3332.222015,1847.798585,7857.594164,2803.270458,6912.715753,7730.548253,12644.22335,1495.899522,3200.344313,0,0,7043,7064,7075,7145,7214,7277,7304,Lv 12
672,1080,302031038,31038,Northgate - Virginia,30203,Nundah,302,Brisbane - North,3GBRI,Greater Brisbane,3,Queensland,6.1268,153.0677171,-27.38385296,92880.43631,695.5831629,852.8292448,7311.576521,1936.192853,6748.896555,3506.294019,8781.127724,6026.993987,6296.087722,1425.917752,3134.28413,1894.066816,7277.700403,2913.261936,6272.856385,7325.52571,11569.95846,1486.629204,3447.329416,0,0,6837,6884,6869,6850,6969,7087,7088,Lv 12
673,1081,302031039,31039,Nudgee - Banyo,30203,Nundah,302,Brisbane - North,3GBRI,Greater Brisbane,3,Queensland,13.762,153.0893467,-27.36735848,79636.1173,659.7035247,760.534362,6031.623095,1397.847763,5916.531744,2797.367445,7440.650516,5301.754078,5399.472721,1202.687136,2604.934001,1616.738819,6193.4446,2511.266867,5216.297465,6814.635152,9947.120845,1302.590636,3050.396287,0,0,9662,9744,9950,10140,10316,10584,10806,Lv 11
674,1083,302041041,31041,Bracken Ridge,30204,Sandgate,302,Brisbane - North,3GBRI,Greater Brisbane,3,Queensland,8.1103,153.0342262,-27.32008067,67393.34243,644.2291707,623.4445809,4107.20459,737.9715073,4900.486581,1905.264714,6902.578995,4822.597897,3479.006508,1024.639772,2367.3648,1411.785024,5397.145609,2191.813532,4810.080237,6388.756918,9200.997096,1124.831253,2537.509067,0,0,17633,17565,17579,17724,17809,17825,18008,Lv 10
675,1084,302041042,31042,Brighton (Qld),30204,Sandgate,302,Brisbane - North,3GBRI,Greater Brisbane,3,Queensland,6.4901,153.0553247,-27.29648996,62578.23921,627.428415,591.1553889,3883.476407,675.7243749,4570.237948,1780.048484,6269.092094,4413.302945,3212.908947,939.9462781,2163.201062,1295.863345,4956.443614,1994.563927,4372.583626,5754.401496,8998.342268,1042.105545,2399.063453,0,0,9664,9750,9777,9855,9946,10019,10111,Lv 9
676,1085,302041043,31043,Deagon,30204,Sandgate,302,Brisbane - North,3GBRI,Greater Brisbane,3,Queensland,2.8177,153.0595673,-27.32781024,70812.10789,657.2571951,646.0070435,4444.54811,824.4648236,5309.740021,2063.200891,7143.765295,5035.579276,3794.968799,1073.013345,2395.700301,1461.511964,5571.177416,2235.791035,4944.581374,6400.459483,9853.171759,1285.957458,2700.02329,0,0,3711,3741,3770,3846,3883,3996,4079,Lv 10
677,1087,302041045,31045,Taigum - Fitzgibbon,30204,Sandgate,302,Brisbane - North,3GBRI,Greater Brisbane,3,Queensland,6.2815,153.0388198,-27.34061454,76586.75732,662.795697,749.484749,4583.466782,887.854953,5391.745489,2172.601298,7715.074011,5365.007347,3973.199509,1210.351171,2762.171017,1610.371972,6365.224296,2466.056845,5733.852424,6715.212989,10904.8232,1303.449352,2855.045411,0,0,10934,11725,12619,13279,13896,14302,14513,Lv 11
678,1086,302041044,31044,Sandgate - Shorncliffe,30204,Sandgate,302,Brisbane - North,3GBRI,Greater Brisbane,3,Queensland,4.3474,153.0684113,-27.32047124,68475.47347,643.9303346,616.1513786,4250.795869,766.5013068,5060.424236,1972.992268,6903.18386,4959.754835,3609.366945,1019.565376,2300.681402,1418.888869,5356.807439,2155.492662,4722.420871,6269.667049,9732.41435,1190.788466,2643.69381,0,0,7016,7028,7026,6987,7024,6978,6864,Lv 10
679,1090,303011048,31048,Cannon Hill,30301,Carindale,303,Brisbane - South,3GBRI,Greater Brisbane,3,Queensland,3.9526,153.0947522,-27.47237442,100510.3726,734.086452,1050.499478,6927.70573,1027.20791,7196.017924,3203.852767,9590.684167,6932.357025,5521.82089,1988.272584,4052.748388,2164.307398,8739.532327,3234.963815,7271.340857,8428.672,12958.11404,1650.46216,3665.689711,0,0,5411,5675,6013,6255,6532,6877,7215,Lv 13
