fid,ogc_fid,sa2_main16,sa2_5dig16,sa2_name16,sa3_code16,sa3_name16,sa4_code16,sa4_name16,gcc_code16,gcc_name16,ste_code16,ste_name16,areasqkm16,Long,Lat,EJD_Total,EJD_AgriFor,EJD_Mining,EJD_Manufacturing,EJD_Util,EJD_Constr,EJD_Wholesale,EJD_Retail,EJD_AccoFood,EJD_Logistic,EJD_IT,EJD_Fin,EJD_RealEst,EJD_ProfServ,EJD_Admin,EJD_GovDef,EJD_Edu,EJD_Health,EJD_Arts,EJD_Other,EMP_Total_2016,EMP_Total_2021,ERP_2014,ERP_2015,ERP_2016,ERP_2017,ERP_2018,ERP_2019,ERP_2020,EJD_Total_Level
778,2104,701011003,71003,East Point,70101,Darwin City,701,Darwin,7GDAR,Greater Darwin,7,Northern Territory,2.377,130.8300419,-12.41158989,9632.420916,130.998244,124.9918797,372.6845815,139.2193176,751.8536308,210.8675272,817.0996442,755.336716,405.4245034,141.9363537,231.5461458,189.5128667,682.0543542,278.4560179,1485.029559,804.2255506,1042.135624,311.8196682,340.2865939,0,0,26,20,14,14,14,14,14,Lv 1
787,2113,701021012,71012,Berrimah,70102,Darwin Suburbs,701,Darwin,7GDAR,Greater Darwin,7,Northern Territory,30.2554,130.9380019,-12.42857683,13590.87766,171.5445735,142.3450206,640.1671562,300.8530238,1697.756525,427.3118755,1093.629575,705.9813112,814.6038243,137.3980736,220.4124489,196.7324703,796.5608958,396.8021037,2154.041505,1046.872233,1191.490899,226.0861908,573.3370159,0,0,2051,1512,1392,1380,1351,1344,1349,Lv 2
793,2114,701021013,71013,Brinkin - Nakara,70102,Darwin Suburbs,701,Darwin,7GDAR,Greater Darwin,7,Northern Territory,2.6861,130.8731253,-12.37109809,15189.06277,132.4202476,114.3006744,388.2614291,132.5608555,848.5684569,218.6064578,1736.786028,1133.448982,491.0340595,174.0295215,302.7100621,222.4814271,796.3917324,376.8760859,2113.959961,2031.042122,2665.95795,231.1759571,467.5978257,0,0,3524,3789,3839,3845,3678,3484,3335,Lv 3
829,2115,701021014,71014,Buffalo Creek,70102,Darwin Suburbs,701,Darwin,7GDAR,Greater Darwin,7,Northern Territory,23.9105,130.9218281,-12.37103151,8152.650457,120.3053778,106.7235057,362.3409541,119.457753,702.4259671,197.6701782,754.9304462,559.263284,398.1433311,104.5459758,183.6667591,136.8253024,522.9080551,241.2227308,1027.327239,778.9790059,1004.618985,160.9713159,295.3466443,0,0,3,3,0,0,0,0,0,Lv 1
1104,2118,701021017,71017,East Arm,70102,Darwin Suburbs,701,Darwin,7GDAR,Greater Darwin,7,Northern Territory,24.3744,130.9318404,-12.47446168,9719.0527,124.9990083,177.7816902,583.9599144,193.70452,1011.03712,460.5406209,776.2904148,538.2868224,1015.391557,102.8330622,180.170641,152.5338387,575.8989592,263.3161547,1049.6192,679.2748798,851.4702649,146.5173,344.6096415,0,0,10,12,13,13,13,13,13,Lv 1
1106,2122,701021021,71021,Lyons (NT),70102,Darwin Suburbs,701,Darwin,7GDAR,Greater Darwin,7,Northern Territory,7.0409,130.8940863,-12.34895373,9119.197851,123.3316867,105.6322476,354.7526671,113.8649545,775.8610607,191.255225,836.8258707,654.3336946,410.5654026,114.1063051,196.5789804,147.3764792,562.706763,262.8320971,1143.678659,906.6840397,1325.748923,175.7189841,312.2915884,0,0,3878,4516,5076,5655,6040,6393,6687,Lv 1
1111,2125,701021024,71024,Moil,70102,Darwin Suburbs,701,Darwin,7GDAR,Greater Darwin,7,Northern Territory,1.0424,130.8808826,-12.38850389,10958.42846,129.4950268,115.8536083,397.4088315,136.2574171,844.5039969,218.7273582,1039.835445,779.902553,549.1579927,131.1834917,221.636736,180.0632007,665.6386589,315.8022184,1458.694809,1253.398939,1420.291748,227.1533471,378.5862994,0,0,2167,2155,2137,2120,2051,2027,2002,Lv 2
1120,2132,701031031,71031,Howard Springs,70103,Litchfield,701,Darwin,7GDAR,Greater Darwin,7,Northern Territory,118.021,131.0422642,-12.4635006,11061.67071,144.9871293,172.1933023,403.3546152,139.5718833,1094.317212,199.1105186,658.7621472,658.9049095,579.076623,106.6706698,170.2337306,133.6156543,584.1817195,279.0770775,3274.938161,743.1788793,823.2692837,122.3381853,307.4036602,0,0,5986,7160,7533,7603,7666,7717,7644,Lv 2
1123,2133,701031032,71032,Humpty Doo,70103,Litchfield,701,Darwin,7GDAR,Greater Darwin,7,Northern Territory,157.4161,131.1309616,-12.56039729,7132.612556,203.3328511,124.7042724,321.1764597,97.30083423,813.68561,169.9578873,617.4443187,471.6747933,355.7407408,84.86124741,161.7757004,113.5680937,471.3950793,227.4085375,699.3524668,759.948436,707.8110147,123.3963121,264.9749198,0,0,8970,9083,9221,9254,9182,9096,9121,Lv 1
1124,2134,701031033,71033,Koolpinyah,70103,Litchfield,701,Darwin,7GDAR,Greater Darwin,7,Northern Territory,1199.6495,131.1571595,-12.34415819,4992.2405,101.5647348,81.81754052,264.7889968,63.68437046,399.7754976,123.769886,433.3632561,321.5737288,215.4067379,68.01675209,137.4709671,77.83471754,332.418576,138.305254,817.5995846,400.1442889,548.4536395,80.38691246,168.4917745,0,0,23,25,26,26,26,26,26,Lv 1
1186,2102,701011001,71001,Darwin Airport,70101,Darwin City,701,Darwin,7GDAR,Greater Darwin,7,Northern Territory,14.3244,130.8821207,-12.41173324,10389.78951,134.5961717,114.6114746,425.675018,124.5971937,755.9165778,208.3885072,940.1960938,735.5550004,1021.037017,117.3003745,204.184305,173.4642766,601.5479445,295.3661524,1463.510213,911.8104579,1153.765306,218.6082971,333.1669771,0,0,18,17,16,16,16,16,16,Lv 2
1187,2103,701011002,71002,Darwin City,70101,Darwin City,701,Darwin,7GDAR,Greater Darwin,7,Northern Territory,3.1734,130.8437285,-12.46187389,20790.45337,234.7175917,288.0035598,473.3567305,389.1323961,1075.432013,302.8623969,1363.115355,2110.995915,567.5266908,438.0593922,649.687339,524.4803122,1967.220092,630.1283756,5272.82095,1026.786086,1533.47476,452.4796846,695.5005137,0,0,6288,7056,7591,7838,7614,7319,7215,Lv 3
1188,2105,701011004,71004,Fannie Bay - The Gardens,70101,Darwin City,701,Darwin,7GDAR,Greater Darwin,7,Northern Territory,3.9165,130.8374523,-12.43519583,14661.13482,154.3969334,163.1514081,447.6541534,198.8756437,1018.42772,263.5619158,1107.195755,1276.853993,499.0000554,237.2409051,344.3399348,323.8322141,1079.606028,409.1424601,2520.026135,1216.431727,1432.464463,872.5835514,491.4702371,0,0,3679,3667,3640,3713,3711,3714,3737,Lv 2
1189,2106,701011005,71005,Larrakeyah,70101,Darwin City,701,Darwin,7GDAR,Greater Darwin,7,Northern Territory,1.9452,130.8256616,-12.45521362,12768.15526,160.3596024,159.4066567,398.9330665,191.7679318,858.8757484,228.2816246,936.1141999,1095.681574,451.5999741,204.5571857,320.3503211,286.3123697,1005.254578,365.1627112,2745.368611,889.9712589,1149.659856,366.2090964,424.4261974,0,0,3919,3954,4019,4084,3999,3963,3983,Lv 2
