fid,ogc_fid,sa2_main16,sa2_5dig16,sa2_name16,sa3_code16,sa3_name16,sa4_code16,sa4_name16,gcc_code16,gcc_name16,ste_code16,ste_name16,areasqkm16,Long,Lat,EJD_Total,EJD_AgriFor,EJD_Mining,EJD_Manufacturing,EJD_Util,EJD_Constr,EJD_Wholesale,EJD_Retail,EJD_AccoFood,EJD_Logistic,EJD_IT,EJD_Fin,EJD_RealEst,EJD_ProfServ,EJD_Admin,EJD_GovDef,EJD_Edu,EJD_Health,EJD_Arts,EJD_Other,EMP_Total_2016,EMP_Total_2021,ERP_2014,ERP_2015,ERP_2016,ERP_2017,ERP_2018,ERP_2019,ERP_2020,EJD_Total_Level
37,2025,601041025,61025,Mount Wellington,60104,Hobart - South and West,601,Hobart,6GHOB,Greater Hobart,6,Tasmania,90.163,147.2059844,-42.89835254,11521.50574,266.681506,86.28346418,739.3126362,153.4121019,754.7050714,311.6577041,1209.991194,852.2686085,484.2323006,215.5058639,417.7371472,183.2463754,836.2476002,337.744112,924.8123419,1061.252503,1583.869727,215.3483182,428.6151093,0,0,0,0,0,0,0,0,0,Lv 2
38,2026,601041026,61026,Taroona - Bonnet Hill,60104,Hobart - South and West,601,Hobart,6GHOB,Greater Hobart,6,Tasmania,8.0166,147.3401718,-42.95059874,15873.2788,320.7974651,92.0523275,899.7637725,215.1770343,978.805152,375.4917065,1638.803977,1207.947971,585.7449536,301.4228869,535.4987389,237.5861407,1172.221814,446.2598667,1395.244321,1710.397301,2266.486418,321.3335317,579.8290591,0,0,3643,3650,3664,3696,3710,3729,3724,Lv 3
39,2027,601051027,61027,Hobart,60105,Hobart Inner,601,Hobart,6GHOB,Greater Hobart,6,Tasmania,6.6157,147.3257407,-42.87510081,53887.4049,618.0627716,116.2520963,1763.30984,898.8528785,2369.387616,969.1948372,5215.988081,4636.220106,1254.432292,1551.501807,2331.711762,749.0959989,4316.188788,1374.64688,8566.290913,4050.47072,8754.977913,922.8488889,1982.4514,0,0,7944,8013,8115,8323,8512,8721,8977,Lv 8
40,2028,601051028,61028,Lenah Valley - Mount Stuart,60105,Hobart Inner,601,Hobart,6GHOB,Greater Hobart,6,Tasmania,9.8086,147.2779201,-42.87153005,20137.90723,355.0666988,98.21198527,1128.787291,523.7227844,1202.077688,459.9081337,2045.364522,1433.138384,743.0055883,385.0221788,648.1641037,275.6657669,1358.024909,536.238648,1860.639783,1775.687601,3482.624875,361.2410554,756.1007363,0,0,8457,8481,8516,8618,8776,8833,8888,Lv 3
41,2029,601051029,61029,Mount Nelson - Dynnyrne,60105,Hobart Inner,601,Hobart,6GHOB,Greater Hobart,6,Tasmania,7.9217,147.3204436,-42.91694848,17293.6227,334.9907881,93.05128433,933.233158,243.9621344,1039.676637,399.630609,1796.168647,1331.011167,613.0521666,342.8151763,596.7110513,256.6418145,1259.664459,479.1679247,1601.156123,1945.725861,2409.826155,361.5444074,638.5633764,0,0,4637,4714,4802,4952,5159,5289,5338,Lv 3
42,2030,601051030,61030,New Town,60105,Hobart Inner,601,Hobart,6GHOB,Greater Hobart,6,Tasmania,3.822,147.3084938,-42.85618264,34263.29542,436.19703,129.202076,1725.296849,771.7294751,1870.252992,765.490119,3601.48992,2537.909513,1243.754284,733.1859514,1138.326384,447.7583295,2299.396603,911.5129133,4126.126685,2828.585962,5564.363205,598.4080802,1437.447906,0,0,6012,6088,6153,6198,6233,6294,6339,Lv 6
43,2031,601051031,61031,Sandy Bay,60105,Hobart Inner,601,Hobart,6GHOB,Greater Hobart,6,Tasmania,6.9463,147.3407867,-42.91214686,22653.68251,357.6894017,93.99056781,1004.985205,268.8998133,1185.224244,442.5263118,2363.760436,2000.880237,678.2618864,430.9473375,713.9256871,339.0374306,1537.56883,581.5744551,1838.793089,3506.595532,3029.091992,742.0785776,792.6751642,0,0,12128,12194,12256,12499,12639,12844,12905,Lv 4
44,2032,601051032,61032,South Hobart - Fern Tree,60105,Hobart Inner,601,Hobart,6GHOB,Greater Hobart,6,Tasmania,23.4873,147.2793066,-42.91591993,15890.77014,318.829694,97.23132811,930.2510772,217.9906441,990.8695709,377.6439988,1598.584008,1196.319697,584.0479525,295.5343082,539.5259411,232.4794516,1146.186166,438.6533996,1348.545064,1463.946148,2629.478096,311.6320183,587.5406262,0,0,6153,6190,6244,6346,6391,6498,6594,Lv 3
1157,2001,601011001,61001,Bridgewater - Gagebrook,60101,Brighton,601,Hobart,6GHOB,Greater Hobart,6,Tasmania,55.7463,147.1794479,-42.72833001,14963.64744,305.542268,102.4891079,987.7668202,199.1438079,973.8110073,421.894804,1634.210208,1120.964658,873.1474377,250.7011716,467.7911602,212.1254036,939.4145289,444.0180809,1223.140893,1459.52095,1938.860873,263.0405243,557.9112799,0,0,7465,7413,7362,7344,7355,7408,7543,Lv 2
1158,2002,601011002,61002,Brighton - Pontville,60101,Brighton,601,Hobart,6GHOB,Greater Hobart,6,Tasmania,88.7598,147.3023197,-42.70124132,13384.23329,323.278873,91.28711015,899.8155115,173.0600924,961.2917212,358.9641201,1379.410712,977.2004253,663.0085226,243.1157111,444.1632107,198.1133496,909.6542434,397.7535114,1023.71434,1221.172904,1787.812683,278.3290746,522.0683552,0,0,5194,5345,5492,5653,5829,6006,6213,Lv 2
