fid,ogc_fid,sa2_main16,sa2_5dig16,sa2_name16,sa3_code16,sa3_name16,sa4_code16,sa4_name16,gcc_code16,gcc_name16,ste_code16,ste_name16,areasqkm16,Long,Lat,EJD_Total,EJD_AgriFor,EJD_Mining,EJD_Manufacturing,EJD_Util,EJD_Constr,EJD_Wholesale,EJD_Retail,EJD_AccoFood,EJD_Logistic,EJD_IT,EJD_Fin,EJD_RealEst,EJD_ProfServ,EJD_Admin,EJD_GovDef,EJD_Edu,EJD_Health,EJD_Arts,EJD_Other,EMP_Total_2016,EMP_Total_2021,ERP_2014,ERP_2015,ERP_2016,ERP_2017,ERP_2018,ERP_2019,ERP_2020,EJD_Total_Level
57,683,206011105,21105,Brunswick,20601,Brunswick - Coburg,206,Melbourne - Inner,2GMEL,Greater Melbourne,2,Victoria,5.1425,144.9612668,-37.76644151,186189.7412,1018.895548,451.768478,11337.36938,2207.980283,10072.77405,5422.066919,16579.23684,13047.48836,8274.728744,5565.673052,12272.29666,3238.463859,21372.6999,6221.66043,11891.08317,15937.62512,22531.16413,4321.063152,6210.778848,0,0,26155,26799,27435,28220,29186,29993,30506,Lv 19
62,762,208021427,21427,Bentleigh East (South),20802,Glen Eira,208,Melbourne - Inner South,2GMEL,Greater Melbourne,2,Victoria,4.5882,145.0653264,-37.92941328,124084.0434,917.1639785,334.7424039,8975.00454,1260.472505,7949.495024,4453.573785,12786.9501,8301.665871,5156.50061,2882.497445,6111.781224,2263.489672,12333.86272,4131.554853,6542.857152,11175.10264,15558.68279,2689.905507,4433.089933,0,0,13228,13467,13767,14023,14191,14422,14680,Lv 15
71,763,208031183,21183,Aspendale Gardens - Waterways,20803,Kingston,208,Melbourne - Inner South,2GMEL,Greater Melbourne,2,Victoria,5.3073,145.1230756,-38.01909948,98503.85251,903.0211071,280.7874084,8514.623119,1058.298582,6655.687056,3782.612508,10177.10689,6439.494683,4385.142972,2082.54268,4370.083373,1711.60944,8843.785514,3186.024148,5088.184908,8516.006938,12063.46276,1961.680445,3590.994974,0,0,9358,9366,9427,9451,9489,9496,9465,Lv 13
74,903,212031304,21304,Cranbourne West,21203,Casey - South,212,Melbourne - South East,2GMEL,Greater Melbourne,2,Victoria,12.8981,145.2484025,-38.10184797,73251.61711,877.2595641,231.1540401,6032.380011,767.2441957,5174.14648,2700.849557,7917.897342,4890.301374,3317.735286,1422.049211,2977.941349,1269.903222,6030.688042,2329.928145,3827.452971,6484.034396,9263.476151,1431.902876,2718.6348,0,0,12651,13995,15685,17145,18604,19755,20857,Lv 10
78,828,210031440,21440,Hadfield,21003,Moreland - North,210,Melbourne - North West,2GMEL,Greater Melbourne,2,Victoria,3.0501,144.9502984,-37.7101084,122158.7768,918.8188257,329.1286436,9480.8583,1378.224483,7661.544513,4025.384901,11841.54705,8024.516608,6299.681228,2955.567693,6480.993407,2027.902522,11644.45683,3947.64821,7456.694455,10500.83741,14605.58345,2480.689445,4328.34772,0,0,5726,5803,5911,5982,6036,6165,6258,Lv 15
79,829,210041240,21240,Sunbury,21004,Sunbury,210,Melbourne - North West,2GMEL,Greater Melbourne,2,Victoria,129.5488,144.7675768,-37.53943898,58873.32074,746.2298014,214.7934702,4296.525141,640.1478685,3949.280238,1893.370084,5859.786679,3951.411854,3134.842497,1267.678846,2704.183428,993.0008334,5220.394967,1898.974881,3447.778677,5434.239808,7244.22342,1169.474568,2074.836324,0,0,13129,13170,13238,13306,13397,13558,13714,Lv 9
80,830,210041241,21241,Sunbury - South,21004,Sunbury,210,Melbourne - North West,2GMEL,Greater Melbourne,2,Victoria,131.1359,144.6970031,-37.59282293,66385.28031,766.9920688,225.7783375,4698.366274,804.9687957,4455.68437,2033.892037,7431.562416,4840.404517,3540.396116,1342.541163,2892.791669,1172.417565,5596.89576,2049.021975,3712.390081,5861.122763,8110.635021,1290.297001,2515.620131,0,0,26191,26779,27686,28452,29373,30635,31710,Lv 10
82,814,210011227,21227,Essendon Airport,21001,Keilor,210,Melbourne - North West,2GMEL,Greater Melbourne,2,Victoria,3.3549,144.900409,-37.72690741,126140.4097,896.0032898,350.5794918,8527.636401,1455.378875,7458.264372,3901.201383,12874.23257,8300.987992,7305.088895,3257.468628,7356.211003,2147.705433,12725.10915,4115.36189,7941.032173,10453.37834,14510.57721,2700.25496,4199.096762,0,0,0,0,0,0,0,0,0,Lv 15
115,714,206061136,21136,Prahran - Windsor,20606,Stonnington - West,206,Melbourne - Inner,2GMEL,Greater Melbourne,2,Victoria,2.9054,144.9980517,-37.85284986,188073.5068,1041.627867,568.6906861,10393.53916,2095.085604,10323.3574,5485.825662,17584.24241,13997.02462,7390.855337,5841.38651,11889.34912,3878.466616,23567.91888,6739.923597,10845.92203,15038.00982,21971.90215,4858.948111,6301.775667,0,0,20481,20834,21275,21742,22040,22234,22395,Lv 19
131,719,206071141,21141,Collingwood,20607,Yarra,206,Melbourne - Inner,2GMEL,Greater Melbourne,2,Victoria,1.2671,144.9881357,-37.80209135,215668.2706,1060.449662,533.4792679,11301.87045,2571.40353,11071.23001,6210.653226,18701.33927,15491.77929,9170.469196,7042.447867,14602.92177,3880.074582,28012.02062,7616.601568,13512.36915,17516.23238,25930.12436,5242.55187,6926.108768,0,0,8022,8582,9235,9826,10377,10984,11529,Lv 21
