fid,ogc_fid,sa2_main16,sa2_5dig16,sa2_name16,sa3_code16,sa3_name16,sa4_code16,sa4_name16,gcc_code16,gcc_name16,ste_code16,ste_name16,areasqkm16,Long,Lat,EJD_Total,EJD_AgriFor,EJD_Mining,EJD_Manufacturing,EJD_Util,EJD_Constr,EJD_Wholesale,EJD_Retail,EJD_AccoFood,EJD_Logistic,EJD_IT,EJD_Fin,EJD_RealEst,EJD_ProfServ,EJD_Admin,EJD_GovDef,EJD_Edu,EJD_Health,EJD_Arts,EJD_Other,EMP_Total_2016,EMP_Total_2021,ERP_2014,ERP_2015,ERP_2016,ERP_2017,ERP_2018,ERP_2019,ERP_2020,EJD_Total_Level
877,1850,505031102,51102,Girrawheen,50503,Wanneroo,505,Perth - North West,5GPER,Greater Perth,5,Western Australia,4.0937,115.8397789,-31.84102615,54549.96076,431.2301433,1704.271,3161.973104,685.5229419,4705.643241,1557.275216,5689.906827,3605.054308,2084.611259,734.9464745,1715.935347,1028.229906,4403.065603,1760.951627,3506.207978,5086.066142,6939.54185,958.5006454,2242.365392,0,0,9196,9155,9035,8856,8772,8569,8572,Lv 8
911,1831,505011083,51083,Woodvale,50501,Joondalup,505,Perth - North West,5GPER,Greater Perth,5,Western Australia,7.1962,115.7967612,-31.78927834,41112.91493,368.4472704,1131.962884,2336.797933,446.5570279,3567.642625,1095.656003,4592.301699,2810.69271,1537.890696,497.1685846,1216.319114,770.5170883,3052.955655,1273.038699,2553.33116,4118.563583,5374.429875,720.9321968,1740.642532,0,0,9807,9725,9604,9577,9549,9476,9522,Lv 7
982,1769,502011021,51021,Dawesville - Bouvard,50201,Mandurah,502,Mandurah,5GPER,Greater Perth,5,Western Australia,97.9248,115.6450967,-32.71638488,15839.91201,256.7571566,456.4687003,983.2407301,177.7328329,1372.134763,410.6510013,1671.6955,1118.370075,673.8627607,189.5487683,449.898746,292.1062568,1099.876278,495.0052303,1031.762101,1536.825664,1981.800542,292.5184775,620.322969,0,0,6743,7034,7337,7557,7934,8226,8530,Lv 3
983,1770,502011022,51022,Falcon - Wannanup,50201,Mandurah,502,Mandurah,5GPER,Greater Perth,5,Western Australia,9.5893,115.6561682,-32.58792611,19438.29765,273.8724238,537.9314127,1145.941606,209.1528678,1600.584642,479.3725347,2252.724639,1515.160242,795.7721097,218.4310623,526.0527444,391.1188302,1294.683065,593.3836289,1229.075964,1824.684238,2535.192342,329.0042871,803.7579243,0,0,8876,8975,9060,9210,9234,9358,9607,Lv 3
984,1771,502011023,51023,Greenfields,50201,Mandurah,502,Mandurah,5GPER,Greater Perth,5,Western Australia,9.9609,115.7630775,-32.52419942,24181.0163,291.0403464,601.2049769,1490.723009,247.5370047,1925.620715,576.2498858,2853.658712,1603.040532,1112.990882,246.8841236,590.7914078,407.5850894,1448.05905,708.7952657,1434.533811,2306.267243,3860.745692,408.9793085,1017.463942,0,0,10211,10182,10139,10002,9903,9866,9860,Lv 4
985,1772,502011024,51024,Halls Head - Erskine,50201,Mandurah,502,Mandurah,5GPER,Greater Perth,5,Western Australia,14.2469,115.6972625,-32.54746627,21107.75019,277.4785904,548.3025904,1184.801738,220.7685932,1746.822124,492.8770247,2771.092179,1578.843543,814.0296071,233.2264961,556.1561909,385.5839003,1363.534399,636.5251386,1235.702327,2163.432333,2778.655612,351.3311297,845.1788869,0,0,19002,19092,19145,19272,19448,19677,19945,Lv 4
986,1804,504031056,51056,Ballajura,50403,Swan,504,Perth - North East,5GPER,Greater Perth,5,Western Australia,23.8166,115.9007086,-31.82587679,46939.04777,396.6318698,1480.305041,2904.599963,537.8951693,4073.871833,1434.116075,4834.369337,3041.257438,2056.275654,627.5897237,1410.658896,904.8246333,3596.579081,1481.063527,2962.22448,4479.581403,5690.002767,790.6570318,1979.297619,0,0,20285,19944,19342,19060,18937,18825,18877,Lv 7
987,1773,502011025,51025,Mandurah,50201,Mandurah,502,Mandurah,5GPER,Greater Perth,5,Western Australia,8.3954,115.7339565,-32.52380157,28398.84154,292.2592597,634.853594,1435.161336,346.0052135,2255.263646,632.7066972,3727.607484,2525.194322,1101.100583,375.9880135,820.8709622,733.8040732,1711.706922,830.3849624,2201.955528,2286.44963,3636.966651,480.7657122,1164.665761,0,0,9459,9502,9491,9176,9005,8833,8832,Lv 5
988,1774,502011026,51026,Mandurah - East,50201,Mandurah,502,Mandurah,5GPER,Greater Perth,5,Western Australia,40.2182,115.7881129,-32.56447331,19849.9855,297.7413773,592.6623563,1246.503721,267.6760679,1659.081993,513.9701717,2194.795618,1426.908915,836.7496618,223.9110586,553.2821986,388.7014094,1341.691669,591.50311,1288.309513,1882.266928,2518.631662,337.123458,787.8767568,0,0,5703,5868,6019,6166,6367,6521,6665,Lv 3
989,1775,502011027,51027,Mandurah - North,50201,Mandurah,502,Mandurah,5GPER,Greater Perth,5,Western Australia,31.8412,115.7726866,-32.48166057,22904.37524,292.5625513,629.8943782,1343.8785,251.6925728,1925.370097,566.2170642,2512.485309,1627.949892,927.4959054,247.6088923,616.263854,420.9375781,1516.498464,700.3630231,1486.198166,2526.923955,3003.446347,401.4818811,887.7360144,0,0,16803,17556,18251,18928,19702,20387,21086,Lv 4
