fid,ogc_fid,sa2_main16,sa2_5dig16,sa2_name16,sa3_code16,sa3_name16,sa4_code16,sa4_name16,gcc_code16,gcc_name16,ste_code16,ste_name16,areasqkm16,Long,Lat,EJD_Total,EJD_AgriFor,EJD_Mining,EJD_Manufacturing,EJD_Util,EJD_Constr,EJD_Wholesale,EJD_Retail,EJD_AccoFood,EJD_Logistic,EJD_IT,EJD_Fin,EJD_RealEst,EJD_ProfServ,EJD_Admin,EJD_GovDef,EJD_Edu,EJD_Health,EJD_Arts,EJD_Other,EMP_Total_2016,EMP_Total_2021,ERP_2014,ERP_2015,ERP_2016,ERP_2017,ERP_2018,ERP_2019,ERP_2020,EJD_Total_Level
1,523,126021497,11497,Eastwood - Denistone,12602,Ryde - Hunters Hill,126,Sydney - Ryde,1GSYD,Greater Sydney,1,New South Wales,7.8201,151.0856143,-33.79198545,136255.6016,654.9821492,405.1438165,7464.137663,1098.663837,8632.748156,5293.185854,12336.27233,8943.952256,5751.188226,4351.531564,9489.032116,2744.895662,14461.87926,4535.126962,8428.006754,11220.41102,16942.09322,2164.657375,4720.357661,6621.041063,7186.227443,25600,25894,26201,26644,26992,27450,27626,Lv 16
2,524,126021498,11498,Gladesville - Huntleys Point,12602,Ryde - Hunters Hill,126,Sydney - Ryde,1GSYD,Greater Sydney,1,New South Wales,4.7162,151.1281447,-33.83038296,158882.0276,682.4357793,454.8081962,7932.753984,1152.317249,10068.64304,6020.544162,13630.44089,10566.78762,6512.790921,5770.419656,12336.77248,3283.711457,19045.79807,5519.628967,9614.472062,12626.56249,17988.98376,2749.489788,5381.382359,7401.766975,7968.863412,14625,14803,15001,15227,15533,15791,15856,Lv 17
3,526,126021500,11500,Macquarie Park - Marsfield,12602,Ryde - Hunters Hill,126,Sydney - Ryde,1GSYD,Greater Sydney,1,New South Wales,10.672,151.1188215,-33.77863718,175130.0713,714.2212752,458.3972954,10446.24645,1107.48837,9627.215612,12831.47935,14971.41918,10014.19988,5975.847008,11203.71984,9978.508386,3050.346556,20815.40026,5139.377244,8167.234458,15015.09299,19722.2123,2428.866394,5254.565603,57113.39081,66550.21469,21439,22052,22689,23286,23806,24552,25192,Lv 19
4,527,126021501,11501,North Ryde - East Ryde,12602,Ryde - Hunters Hill,126,Sydney - Ryde,1GSYD,Greater Sydney,1,New South Wales,6.2232,151.1312789,-33.79886141,143884.7713,657.2927167,449.1060245,8321.394456,1043.415852,9281.02605,6727.263106,12112.63419,9056.544536,5675.771198,5262.586776,9997.308002,2729.830578,17839.71777,4847.298785,8278.085303,11014.05535,16779.00959,2316.737776,4701.713068,14064.6238,15554.36,12643,12688,12758,12965,13174,14153,14412,Lv 16
5,528,126021503,11503,West Ryde - Meadowbank,12602,Ryde - Hunters Hill,126,Sydney - Ryde,1GSYD,Greater Sydney,1,New South Wales,4.7923,151.0836844,-33.80956939,142595.5517,667.4488174,416.6500501,8137.966085,1336.849543,9212.583292,5456.184418,12900.68904,9334.169108,6157.43841,4361.312201,10173.73687,2833.911591,15091.7704,4794.983228,9201.73818,11557.09542,16687.00752,2317.908911,4963.958945,6329.65783,6754.575875,19084,19645,20262,20891,21265,21785,22024,Lv 16
6,32,102011032,11032,Gosford - Springfield,10201,Gosford,102,Central Coast,1GSYD,Greater Sydney,1,New South Wales,16.9124,151.3478893,-33.42525841,74052.96808,536.7118567,351.6964426,4014.593022,587.5922121,4761.889357,2182.454516,7437.416552,4976.905238,2817.364684,1616.378621,3865.177917,1370.761061,6022.213046,2295.760559,5429.277536,5789.713857,12687.00504,1089.225293,2959.536064,21900.15016,23663.6161,19046,19194,19382,19512,19631,19889,20279,Lv 10
7,28,102011028,11028,Avoca Beach - Copacabana,10201,Gosford,102,Central Coast,1GSYD,Greater Sydney,1,New South Wales,6.4376,151.430177,-33.47542032,47830.95224,473.7815649,289.7363095,2782.268983,415.0808727,3410.633904,1526.261964,4748.497954,3572.020791,2106.208016,1165.563802,2593.670887,950.2281697,4328.637936,1555.490305,2944.764067,4074.722738,6119.988978,789.5811749,1753.412823,1298.144377,1448.981574,7502,7562,7626,7682,7728,7760,7778,Lv 7
8,29,102011029,11029,Box Head - MacMasters Beach,10201,Gosford,102,Central Coast,1GSYD,Greater Sydney,1,New South Wales,32.086,151.3847509,-33.5085348,41971.75612,460.6401571,271.4291336,2449.075337,369.9706781,3048.674556,1336.957895,4086.813566,3114.273349,1855.118856,1005.564903,2257.429132,820.4496568,3808.293401,1400.026136,2599.467735,3584.852065,5286.442869,706.0250554,1540.833544,1607.685187,1801.647872,10871,10933,10995,11036,11105,11144,11141,Lv 7
9,30,102011030,11030,Calga - Kulnura,10201,Gosford,102,Central Coast,1GSYD,Greater Sydney,1,New South Wales,767.9512,151.1753122,-33.33973526,49273.52637,973.1713796,465.1895651,4312.866003,566.1875387,3740.1857,1690.876265,4478.149407,3233.763876,2250.450198,1110.060992,2511.261214,873.6172875,4185.013525,1542.799441,2867.709259,3821.433168,5652.332635,840.3434679,1751.909468,6292.071363,6773.297895,4746,4799,4858,4893,4933,4970,4995,Lv 8
10,31,102011031,11031,Erina - Green Point,10201,Gosford,102,Central Coast,1GSYD,Greater Sydney,1,New South Wales,33.7934,151.4024945,-33.42324877,64601.4482,536.2855602,328.303622,3428.37456,515.0267902,4275.860184,1937.085629,7930.160558,4835.606787,2521.267765,1575.989728,3402.550138,1216.906735,5536.884381,2026.813737,3843.401799,5487.580418,8812.428746,1018.976209,2498.896549,11063.52184,11864.37564,14243,14285,14342,14351,14370,14394,14338,Lv 9
